Er	68	167	0.22869	3.5	0	0
Er	68	168	0.26978	0	0	0
Er	68	170	0.1491	0	0	0
Tm	69	169	1	0.5	0	0
Yb	70	168	0.0013	0	0	0
Yb	70	170	0.0304	0	0	0
Yb	70	171	0.1428	0.5	0	0
Yb	70	172	0.2183	0	0	0
Yb	70	173	0.1613	2.5	0	0
Yb	70	174	0.3183	0	0	0
Yb	70	176	0.1276	0	0	0
Lu	71	175	0.9741	3.5	0	0
Lu	71	176	0.0259	7	0	0
Hf	72	174	0.0016	0	0	0
Hf	72	176	0.0526	0	0	0
Hf	72	177	0.186	3.5	0	0
Hf	72	178	0.2728	0	0	0
Hf	72	179	0.1362	4.5	0	0
Hf	72	180	0.3508	0	0	0
Ta	73	181	0.99988	3.5	0	0
W	74	180	0.0012	0	0	0
W	74	182	0.265	0	0	0
W	74	183	0.1431	0.5	0	-0.03
W	74	184	0.3064	0	0	0
W	74	186	0.2843	0	0	0
Re	75	185	0.374	2.5	0	0
Re	75	187	0.626	2.5	0	0
Os	76	184	0.0002	0	0	0
Os	76	186	0.0159	0	0	0
Os	76	187	0.016	0.5	0	0
Os	76	188	0.1329	0	0	0
Os	76	189	0.1621	1.5	0	0
Os	76	190	0.2636	0	0	0
Os	76	192	0.4093	0	0	0
Ir	77	191	0.373	1.5	-0.295	0
Ir	77	193	0.627	1.5	-0.292	0
Pt	78	190	0.00014	0	0	0
Pt	78	192	0.00782	0	0	0
Pt	78	194	0.32967	0	0	0
Pt	78	195	0.33832	0.5	0	0
Pt	78	196	0.25242	0	0	0
Pt	78	198	0.07163	0	0	0
Au	79	197	1	1.5	0	0
Hg	80	196	0.0015	0	0	0
Hg	80	198	0.0997	0	0	0
Hg	80	199	0.1687	0.5	0	-0.13
Hg	80	200	0.231	0	0	0
Hg	80	201	0.1318	1.5	0	0.146
Hg	80	202	0.2986	0	0	0
Hg	80	204	0.0686	0	0	0
Tl	81	203	0.29524	0.5	0.24	0
Tl	81	205	0.70476	0.5	0.25	0
Pb	82	204	0.014	0	0	0
Pb	82	206	0.241	0	0	0
Pb	82	207	0.221	0.5	-0.01	-0.149
Pb	82	208	0.524	0	0	0
Bi	83	209	1	4.5	-0.085	0
Po	84	210	1	0	0	0
At	85	210	1	0	0	0
Rn	86	222	1	0	0	0
Fr	87	223	1	0	0	0
Ra	88	226	1	0	0	0
Ac	89	227	1	0	0	0
Th	90	232	1	0	0	0
Pa	91	231	1	0	0	0
U	92	234	0.000054	0	0	0
U	92	235	0.007204	3.5	0	0
U	92	238	0.992742	0	0	0
